title,point,title_href,time
Thị trường nông sản: Giá lúa tăng/giảm trái chiều,5,https://baotintuc.vn/thi-truong-tien-te/thi-truong-nong-san-gia-lua-tanggiam-trai-chieu-20230514132849477.htm,"Chủ Nhật, 14/05/2023 13:29"
Thị trường nông sản thế giới tuần qua: Giá gạo xuất khẩu của Ấn Độ giảm tuần thứ ba liên tiếp,5,https://baotintuc.vn/kinh-te/thi-truong-nong-san-the-gioi-tuan-qua-gia-gao-xuat-khau-cua-an-do-giam-tuan-thu-ba-lien-tiep-20230506190604169.htm,"Thứ Bảy, 06/05/2023 19:22"
Thị trường nông sản: Giá gạo giảm nhẹ,4,https://baotintuc.vn/thi-truong-tien-te/thi-truong-nong-san-gia-gao-giam-nhe-20230521180327638.htm,"Chủ Nhật, 21/05/2023 18:08"
Xuất khẩu gạo tăng cao nhất trong các nông sản chính,4,https://baotintuc.vn/kinh-te/xuat-khau-gao-tang-cao-nhat-trong-cac-nong-san-chinh-20230505093957535.htm,"Thứ Sáu, 05/05/2023 10:01"
Giá lúa gạo ngày 26/5/2023: Gạo xuất khẩu giảm,4,https://mobiagri.vn/gia-lua-gao-ngay-26-5/,"Tháng Năm 26, 2023"
Thị trường nông sản tuần qua: Giá gạo xuất khẩu rời khỏi mức cao nhất trong hai năm,4,https://baotintuc.vn/thi-truong-tien-te/thi-truong-nong-san-tuan-qua-gia-gao-xuat-khau-roi-khoi-muc-cao-nhat-trong-hai-nam-20230507180052493.htm,"Chủ Nhật, 07/05/2023 18:04"
Phê duyệt Chiến lược phát triển thị trường xuất khẩu gạo Việt Nam,3,https://vietstock.vn/2023/05/phe-duyet-chien-luoc-phat-trien-thi-truong-xuat-khau-gao-viet-nam-118-1074494.htm,27/05/2023 09:48
Thị trường nông sản tuần qua: Giá lúa ổn định,3,https://baotintuc.vn/thi-truong-tien-te/thi-truong-nong-san-tuan-qua-gia-lua-on-dinh-20230528113025840.htm,"Chủ Nhật, 28/05/2023 11:30"
"Giá trái cây ngày 26/5/2023: Xoài tăng giá, chôm chôm giảm mạnh",3,https://mobiagri.vn/gia-trai-cay-ngay-26-5-2023-xoai-tang-gia-chom-chom-giam-manh/,"Tháng Năm 26, 2023"
Chiến lược phát triển thị trường xuất khẩu gạo của Việt Nam đến năm 2030,3,https://vtv.vn/kinh-te/chien-luoc-phat-trien-thi-truong-xuat-khau-gao-cua-viet-nam-den-nam-2030-20230527133746801.htm,"-Thứ bảy, ngày 27/05/2023 18:45 GMT+7"
"Giá tôm nguyên liệu giảm, xuất khẩu giảm 35% trong tháng 4",3,https://vietstock.vn/2023/05/gia-tom-nguyen-lieu-giam-xuat-khau-giam-35-trong-thang-4-118-1074334.htm,26/05/2023 17:01
Giá lúa gạo ngày 24/5/2023: Gạo nếp giảm nhẹ,3,https://mobiagri.vn/gia-lua-gao-ngay-24-5-2023/,"Tháng Năm 24, 2023"
Dừa Bến Tre tăng giá trở lại sau hai năm giảm sâu,3,https://vnexpress.net/dua-ben-tre-tang-gia-tro-lai-sau-hai-nam-giam-sau-4601114.html,"Thứ năm, 4/5/2023, 16:44 (GMT+7)"
"Vượt Thái Lan, giá gạo Việt tăng cao nhất hai năm",3,https://vnexpress.net/vuot-thai-lan-gia-gao-viet-tang-cao-nhat-hai-nam-4601331.html,"Thứ sáu, 5/5/2023, 13:04 (GMT+7)"
"Kim ngạch xuất khẩu gạo tăng 54,5%",3,https://baotintuc.vn/infographics/kim-ngach-xuat-khau-gao-tang-545-20230506064529190.htm,"Thứ Bảy, 06/05/2023 06:49"
Xuất khẩu rau quả tăng đột biến,2,https://vnexpress.net/xuat-khau-rau-qua-tang-dot-bien-4610547.html,"Chủ nhật, 28/5/2023, 08:09 (GMT+7)"
Vải chín sớm giảm giá một nửa,2,https://vnexpress.net/vai-chin-som-giam-gia-mot-nua-4605931.html,"Thứ ba, 16/5/2023, 17:31 (GMT+7)"
Nga và Liên hợp quốc ấn định thời điểm tham vấn về xuất khẩu nông sản,2,https://baotintuc.vn/the-gioi/nga-va-lien-hop-quoc-an-dinh-thoi-diem-tham-van-ve-xuat-khau-nong-san-20230503174523934.htm,"Thứ Tư, 03/05/2023 17:48"
Giá sầu riêng ngày 25/5/2023: Sầu riêng lại tăng giá,2,https://mobiagri.vn/gia-sau-rieng-ngay-25-5-2023/,"Tháng Năm 25, 2023"
Nhiều loại cá nuôi tăng giá mạnh,2,https://vnexpress.net/nhieu-loai-ca-nuoi-tang-gia-manh-4607646.html,"Chủ nhật, 21/5/2023, 15:39 (GMT+7)"
Hà Nội triển khai 12 mô hình sản xuất lúa theo tiêu chuẩn xuất khẩu,2,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065319/ha-noi-trien-khai-12-mo-hinh-san-xuat-lua-theo-tieu-chuan-xuat-khau,14:37 thứ năm ngày 25/05/2023
Giá lúa gạo ngày 29/5/2023: Ổn định,2,https://mobiagri.vn/gia-lua-gao-ngay-29-5-2023/,"Tháng Năm 29, 2023"
"Giá nông sản, năng lượng giảm mạnh vẫn thu hút dòng tiền đầu tư trong nước",2,https://baotintuc.vn/thi-truong-tien-te/gia-nong-san-nang-luong-giam-manh-van-thu-hut-dong-tien-dau-tu-trong-nuoc-20230503082055950.htm,"Thứ Tư, 03/05/2023 08:22"
"Doanh nghiệp Nhật Bản, Trung Quốc trực tiếp giám sát vải thiều xuất khẩu",2,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065202/doanh-nghiep-nhat-ban-trung-quoc-truc-tiep-giam-sat-vai-thieu-xuat-khau,10:29 thứ tư ngày 24/05/2023
Cảnh báo giả mạo giấy chứng nhận và website đăng ký doanh nghiệp xuất khẩu nông sản sang Trung Quốc,2,https://baotintuc.vn/phap-luat/canh-bao-gia-mao-giay-chung-nhan-va-website-dang-ky-doanh-nghiep-xuat-khau-nong-san-sang-trung-quoc-20230505200730847.htm,"Thứ Sáu, 05/05/2023 20:16"
"Trung Quốc bất ngờ giảm thu mua, giá chanh leo lao dốc",2,https://vietstock.vn/2023/05/trung-quoc-bat-ngo-giam-thu-mua-gia-chanh-leo-lao-doc-118-1074552.htm,29/05/2023 07:30
Kết nối doanh nghiệp hướng đến xuất khẩu nông sản bền vững,2,https://baotintuc.vn/kinh-te/ket-noi-doanh-nghiep-huong-den-xuat-khau-nong-san-ben-vung-20230527164324339.htm,"Chủ Nhật, 28/05/2023 09:52"
Xu hướng tăng giá bao trùm thị trường dầu tuần qua,2,https://vtv.vn/kinh-te/xu-huong-tang-gia-bao-trum-thi-truong-dau-tuan-qua-20230527133408773.htm,"-Thứ bảy, ngày 27/05/2023 17:05 GMT+7"
Cảnh báo giả mạo giấy chứng nhận xuất khẩu nông sản sang Trung Quốc,2,https://baotintuc.vn/video/canh-bao-gia-mao-giay-chung-nhan-xuat-khau-nong-san-sang-trung-quoc-20230507113834108.htm,"Chủ Nhật, 07/05/2023 12:45"
Xuất khẩu cá tra giảm 41% trong 4 tháng đầu năm,2,https://vietstock.vn/2023/05/xuat-khau-ca-tra-giam-41-trong-4-thang-dau-nam-118-1074537.htm,28/05/2023 15:08
TP Hồ Chí Minh và Cuba thúc đẩy hợp tác phát triển nông nghiệp,2,https://baotintuc.vn/thoi-su/tp-ho-chi-minh-va-cuba-thuc-day-hop-tac-phat-trien-nong-nghiep-20230512114254447.htm,"Thứ Sáu, 12/05/2023 11:45"
Người Việt giảm mua vàng,1,https://vnexpress.net/nguoi-viet-giam-mua-vang-4602579.html,"Thứ hai, 8/5/2023, 15:59 (GMT+7)"
Mận Ruby lần đầu xuất sang Hong Kong giá 400.000 đồng một kg,1,https://vnexpress.net/man-ruby-lan-dau-xuat-sang-hong-kong-gia-400-000-dong-mot-kg-4604021.html,"Thứ sáu, 12/5/2023, 16:21 (GMT+7)"
Giá cao su ngày 29/5/2023: Đồng loạt tăng,1,https://mobiagri.vn/gia-cao-su-ngay-29-5-2023/,"Tháng Năm 29, 2023"
Măng cụt xanh giá nửa triệu đồng một kg,1,https://vnexpress.net/mang-cut-xanh-gia-nua-trieu-dong-mot-kg-4603572.html,"Thứ năm, 11/5/2023, 06:07 (GMT+7)"
"5 tháng, lượng hành khách qua các cảng hàng không tăng gần 38%",1,https://vtv.vn/kinh-te/5-thang-luong-hanh-khach-qua-cac-cang-hang-khong-tang-gan-38-20230526171517071.htm,"-Thứ sáu, ngày 26/05/2023 21:30 GMT+7"
Giá xăng giảm mạnh lần thứ ba liên tiếp,1,https://vnexpress.net/gia-xang-moi-nhat-hom-nay-4604015.html,"Thứ năm, 11/5/2023, 14:26 (GMT+7)"
Giá trái cây ngày 29/5/2023: Giá chanh giảm,1,https://mobiagri.vn/gia-trai-cay-ngay-29-5-2023-gia-chanh-giam/,"Tháng Năm 29, 2023"
Vì sao thanh long Việt mất dần vị thế xuất khẩu?,1,https://vnexpress.net/thanh-long-viet-mat-dan-vi-the-o-thi-truong-quoc-te-4602562.html,"Thứ sáu, 12/5/2023, 15:23 (GMT+7)"
Xuất khẩu lô trứng lỏng đầu tiên sang Hàn Quốc,1,https://vnexpress.net/xuat-khau-lo-trung-long-dau-tien-sang-han-quoc-4610364.html,"Thứ bảy, 27/5/2023, 15:35 (GMT+7)"
Thủ tướng yêu cầu nghiên cứu hỗ trợ lao động bị cắt giảm đơn hàng sau phản ánh của VTV News,1,https://vtv.vn/kinh-te/thu-tuong-yeu-cau-nghien-cuu-ho-tro-lao-dong-bi-cat-giam-don-hang-sau-phan-anh-cua-vtv-news-20230526185423899.htm,"-Thứ sáu, ngày 26/05/2023 21:05 GMT+7"
Tiêu thụ thép xây dựng giảm mạnh,1,https://vnexpress.net/tieu-thu-thep-xay-dung-giam-manh-4607612.html,"Chủ nhật, 21/5/2023, 07:21 (GMT+7)"
Giá vàng có thể giảm tuần tới,1,https://vnexpress.net/gia-vang-co-the-giam-tuan-toi-4607796.html,"Chủ nhật, 21/5/2023, 10:04 (GMT+7)"
Măng cụt rớt giá chỉ còn 20.000 đồng/kg,1,https://mobiagri.vn/mang-cut-rot-gia-chi-con-20-000-dong-kg/,"Tháng Năm 27, 2023"
Giá heo hơi tăng mạnh,1,https://vnexpress.net/gia-heo-hoi-tang-manh-4608993.html,"Thứ tư, 24/5/2023, 14:22 (GMT+7)"
Gạo và hàng thiết yếu - điểm sáng trong bức tranh xuất khẩu,1,https://vnexpress.net/gao-va-hang-thiet-yeu-diem-sang-trong-buc-tranh-xuat-khau-4610104.html,"Thứ hai, 29/5/2023, 16:13 (GMT+7)"
Xuất khẩu TP HCM tiếp tục lao dốc,1,https://vnexpress.net/xuat-khau-tp-hcm-tiep-tuc-lao-doc-4609629.html,"Thứ sáu, 26/5/2023, 06:40 (GMT+7)"
Giá cua hoàng đế tăng kỷ lục,1,https://vnexpress.net/gia-cua-hoang-de-tang-ky-luc-4603110.html,"Thứ ba, 9/5/2023, 18:58 (GMT+7)"
Giá trái cây ngày 25/5/2023: Dừa tươi tăng mạnh,1,https://mobiagri.vn/gia-trai-cay-ngay-25-5-2023/,"Tháng Năm 25, 2023"
Hà Nội bảo tồn nông sản bản địa,1,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065175/ha-noi-bao-ton-nong-san-ban-dia,06:12 thứ tư ngày 24/05/2023
Giá cao su ngày 24/5/2023: Đồng loạt giảm,1,https://mobiagri.vn/gia-cao-su-ngay-24-5-2023/,"Tháng Năm 24, 2023"
Giá xăng giảm hơn 1.000 đồng mỗi lít,1,https://vnexpress.net/gia-xang-moi-nhat-hom-nay-4601019.html,"Thứ năm, 4/5/2023, 14:31 (GMT+7)"
Thêm 47 mã số vùng trồng sầu riêng đủ tiêu chuẩn xuất khẩu sang Trung Quốc,1,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065228/them-47-ma-so-vung-trong-sau-rieng-du-tieu-chuan-xuat-khau-sang-trung-quoc,15:43 thứ tư ngày 24/05/2023
Giá rau củ ngày 25/5/2023: Dưa leo tăng 2.000 đồng/kg,1,https://mobiagri.vn/gia-rau-cu-ngay-25-5-2023/,"Tháng Năm 25, 2023"
"Dự báo thời tiết hôm nay 27.5: Miền Bắc nắng gián đoạn, chiều tối mưa dông",1,https://laodong.vn/moi-truong/du-bao-thoi-tiet-hom-nay-275-mien-bac-nang-gian-doan-chieu-toi-mua-dong-1197429.ldo,"Thứ bảy, 27/05/2023 08:27 (GMT+7)"
"Tuần hàng trái cây, nông sản các tỉnh, thành tại Hà Nội mở cửa đến ngày 28-5",1,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065255/tuan-hang-trai-cay-nong-san-cac-tinh-thanh-tai-ha-noi-mo-cua-den-ngay-28-5,20:15 thứ tư ngày 24/05/2023
Giá tiêu ngày 26/5/2023: Đảo chiều giảm,1,https://mobiagri.vn/gia-tieu-ngay-26-5-2023/,"Tháng Năm 26, 2023"
"Giá cua hoàng đế tăng kỷ lục, người giàu cũng 'méo mặt'",1,https://vietstock.vn/2023/05/gia-cua-hoang-de-tang-ky-luc-nguoi-giau-cung-meo-mat-118-1074182.htm,26/05/2023 09:21
Chủ động khai thác thị trường khi nông sản đến vụ,1,https://baotintuc.vn/thi-truong-tien-te/chu-dong-khai-thac-thi-truong-khi-nong-san-den-vu-20230519193735496.htm,"Thứ Sáu, 19/05/2023 19:41"
Thúc đẩy tiêu thụ nông sản qua các kênh bán sỉ,1,https://baotintuc.vn/kinh-te/thuc-day-tieu-thu-nong-san-qua-cac-kenh-ban-si-20230527144939475.htm,"Thứ Bảy, 27/05/2023 14:55"
Mở lối tư duy kinh tế nông nghiệp - Bài 2: Bắt nhịp xu thế,1,https://baotintuc.vn/kinh-te/mo-loi-tu-duy-kinh-te-nong-nghiep-bai-2-bat-nhip-xu-the-20230525122035567.htm,"Thứ Năm, 25/05/2023 13:00"
Giá sầu riêng ngày 26/5/2023: Sầu riêng giá rẻ tràn phố,1,https://mobiagri.vn/gia-sau-rieng-ngay-26-5-2023/,"Tháng Năm 26, 2023"
"Xem xét trách nhiệm của tổ chức, cá nhân để xảy ra tình trạng lấn, chiếm đất nông nghiệp, đất rừng",1,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065552/xem-xet-trach-nhiem-cua-to-chuc-ca-nhan-de-xay-ra-tinh-trang-lan-chiem-dat-nong-nghiep-dat-rung,07:52 chủ nhật ngày 28/05/2023
Đẩy mạnh đưa nông sản Việt ra thị trường quốc tế,1,https://baotintuc.vn/kinh-te/day-manh-dua-nong-san-viet-ra-thi-truong-quoc-te-20230525171144018.htm,"Thứ Năm, 25/05/2023 17:16"
Giá điều ngày 29/5/2023: Chững lại,0,https://mobiagri.vn/gia-dieu-ngay-29-5-2023/,"Tháng Năm 29, 2023"
El Nino đang làm xáo trộn thị trường hàng hoá ra sao?,0,https://vietstock.vn/2023/05/el-nino-dang-lam-xao-tron-thi-truong-hang-hoa-ra-sao-118-1074522.htm,28/05/2023 08:30
Mặt tối của thời trang nhanh,0,https://vtv.vn/kinh-te/mat-toi-cua-thoi-trang-nhanh-20230527115456044.htm,"-Thứ bảy, ngày 27/05/2023 15:02 GMT+7"
"Sầu riêng, khoai lang, chuối, mít... ""xếp hàng"" xuất sang Trung Quốc",0,https://vietstock.vn/2023/05/sau-rieng-khoai-lang-chuoi-mit-xep-hang-xuat-sang-trung-quoc-118-1074544.htm,28/05/2023 21:30
Giá vàng xuống đáy 2 tháng,0,https://vtv.vn/kinh-te/gia-vang-xuong-day-2-thang-20230527095406288.htm,"-Thứ bảy, ngày 27/05/2023 10:25 GMT+7"
Apple sắp đạt kỷ lục mà chưa công ty nào trên thế giới làm được,0,https://vtv.vn/kinh-te/apple-sap-dat-ky-luc-ma-chua-cong-ty-nao-tren-the-gioi-lam-duoc-20230527141826058.htm,"-Thứ bảy, ngày 27/05/2023 16:19 GMT+7"
"Hơn 2 năm quay cuồng, triệu hộ chăn nuôi bất ngờ nhận tin vui",0,https://vietstock.vn/2023/05/hon-2-nam-quay-cuong-trieu-ho-chan-nuoi-bat-ngo-nhan-tin-vui-118-1073659.htm,24/05/2023 14:48
"Có “vua tôm” bảo lãnh, ngân hàng cũng không dám cho vay nuôi tôm",0,https://vietstock.vn/2023/05/co-vua-tom-bao-lanh-ngan-hang-cung-khong-dam-cho-vay-nuoi-tom-118-1073870.htm,25/05/2023 10:02
Giá cà phê ngày 29/5/2023: Đi ngang,0,https://mobiagri.vn/gia-ca-phe-ngay-29-5-2023/,"Tháng Năm 29, 2023"
Giá điều ngày 26/5/2023: Đi ngang,0,https://mobiagri.vn/gia-dieu-ngay-26-5-2023/,"Tháng Năm 26, 2023"
Giá cao su ngày 26/5/2023: Biến động trái chiều,0,https://mobiagri.vn/gia-cao-su-ngay-26-5-2023/,"Tháng Năm 26, 2023"
Giá rau củ ngày 29/5/2023: Ổn định,0,https://mobiagri.vn/gia-rau-cu-ngay-29-5-2023/,"Tháng Năm 29, 2023"
Giá tiêu ngày 29/5/2023: Lặng sóng,0,https://mobiagri.vn/gia-tieu-ngay-29-5-2023/,"Tháng Năm 29, 2023"
Giá cà phê ngày 26/5/2023: Biến động trái chiều,0,https://mobiagri.vn/gia-ca-phe-ngay-26-5-2023/,"Tháng Năm 26, 2023"
Mỹ - Trung Quốc thảo luận về thương mại song phương,0,https://vtv.vn/kinh-te/my-trung-quoc-thao-luan-ve-thuong-mai-song-phuong-20230527055103637.htm,"-Thứ bảy, ngày 27/05/2023 08:10 GMT+7"
Top 10 sedan được người Việt mua nhiều nhất tháng 4/2023,0,https://vtv.vn/kinh-te/top-10-sedan-duoc-nguoi-viet-mua-nhieu-nhat-thang-4-2023-20230527065315963.htm,"-Thứ bảy, ngày 27/05/2023 09:04 GMT+7"
Tổng thống Mỹ không đồng ý đánh thuế pin mặt trời nhập từ Việt Nam,0,https://vnexpress.net/tong-thong-my-khong-dong-y-danh-thue-pin-mat-troi-nhap-tu-viet-nam-4607420.html,"Thứ sáu, 19/5/2023, 20:35 (GMT+7)"
Trang trại điện gió ngoài khơi đầu tiên tại Mỹ,0,https://vtv.vn/kinh-te/trang-trai-dien-gio-ngoai-khoi-dau-tien-tai-my-2023052705424982.htm,"-Thứ bảy, ngày 27/05/2023 07:00 GMT+7"
Thời điểm nắng nóng gay gắt diện rộng quay lại miền Bắc và miền Trung,0,https://laodong.vn/moi-truong/thoi-diem-nang-nong-gay-gat-dien-rong-quay-lai-mien-bac-va-mien-trung-1197646.ldo,"Thứ bảy, 27/05/2023 18:01 (GMT+7)"
Siêu bão Mawar tác động gây mưa lớn ở TP Hồ Chí Minh và Nam Bộ,0,https://laodong.vn/moi-truong/sieu-bao-mawar-tac-dong-gay-mua-lon-o-tp-ho-chi-minh-va-nam-bo-1197480.ldo,"Thứ bảy, 27/05/2023 10:39 (GMT+7)"
"Khu dân cư ""gánh"" 3 nhà máy ô nhiễm ở Quảng Nam",0,https://laodong.vn/video/khu-dan-cu-ganh-3-nha-may-o-nhiem-o-quang-nam-1197308.ldo,"Thứ bảy, 27/05/2023 07:30 (GMT+7)"
Tin tức 24h: Việt Nam theo dõi sát diễn biến siêu bão Mawar,0,https://laodong.vn/ban-tin/tin-tuc-24h-viet-nam-theo-doi-sat-dien-bien-sieu-bao-mawar-1197351.ldo,"Thứ sáu, 26/05/2023 20:30 (GMT+7)"
Diễn biến mưa dông diện rộng ở cả ba miền trong những ngày tới,0,https://laodong.vn/moi-truong/dien-bien-mua-dong-dien-rong-o-ca-ba-mien-trong-nhung-ngay-toi-1197298.ldo,"Thứ sáu, 26/05/2023 20:22 (GMT+7)"
Xuất hiện siêu bão Mawar giật cấp 17 dù mới chỉ đầu mùa,0,https://laodong.vn/moi-truong/xuat-hien-sieu-bao-mawar-giat-cap-17-du-moi-chi-dau-mua-1197345.ldo,"Thứ sáu, 26/05/2023 20:21 (GMT+7)"
Bản tin dự báo thời tiết đêm nay và ngày mai 27.5,0,https://laodong.vn/video-xa-hoi/ban-tin-du-bao-thoi-tiet-dem-nay-va-ngay-mai-275-1197185.ldo,"Thứ sáu, 26/05/2023 19:30 (GMT+7)"
"Chú trọng quản lý, kiểm soát dịch bệnh động vật",0,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065540/chu-trong-quan-ly-kiem-soat-dich-benh-dong-vat,07:14 chủ nhật ngày 28/05/2023
Vải chín sớm Hưng Yên hút khách,0,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065514/vai-chin-som-hung-yen-hut-khach,16:11 thứ bảy ngày 27/05/2023
Để sản phẩm OCOP Hà Nội vươn xa,0,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065412/de-san-pham-ocop-ha-noi-vuon-xa,07:35 thứ sáu ngày 26/05/2023
Cà Mau đạt nhiều chuyển biến trong gỡ thẻ vàng khai thác thủy sản,0,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065156/ca-mau-dat-nhieu-chuyen-bien-trong-go-the-vang-khai-thac-thuy-san,18:29 thứ ba ngày 23/05/2023
"Năm 2023, Hà Nội phấn đấu thu nhập của nông dân đạt 70 triệu đồng/người/năm",0,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065048/nam-2023-ha-noi-phan-dau-thu-nhap-cua-nong-dan-dat-70-trieu-dongnguoinam,15:26 thứ hai ngày 22/05/2023
Vẫn còn nhiều khó khăn trong sản xuất theo tiêu chuẩn VietGAP,0,http://www.hanoimoi.com.vn/tin-tuc/Nong-nghiep/1065003/van-con-nhieu-kho-khan-trong-san-xuat-theo-tieu-chuan-vietgap,06:50 thứ hai ngày 22/05/2023
Hà Nội: Trao Bằng công nhận đạt chuẩn nông thôn mới nâng cao cho 14 xã của huyện Thanh Trì,0,https://baotintuc.vn/ha-noi/ha-noi-trao-bang-cong-nhan-dat-chuan-nong-thon-moi-nang-cao-cho-14-xa-cua-huyen-thanh-tri-20230520170933186.htm,"Thứ Năm, 18/05/2023 21:46"
Giá hàng hóa thế giới đang có lợi cho doanh nghiệp Việt Nam,0,https://baotintuc.vn/thi-truong-tien-te/gia-hang-hoa-the-gioi-dang-co-loi-cho-doanh-nghiep-viet-nam-20230510143754655.htm,"Thứ Tư, 10/05/2023 14:41"
Ukraine sẽ cấm nhập khẩu hàng hóa từ Moldova,0,https://baotintuc.vn/the-gioi/ukraine-se-cam-nhap-khau-hang-hoa-tu-moldova-20230507112354737.htm,"Chủ Nhật, 07/05/2023 12:15"
Vịnh Bái Tử Long vẫn ngập rác phao xốp,0,https://laodong.vn/xa-hoi/vinh-bai-tu-long-van-ngap-rac-phao-xop-1197559.ldo,"Thứ bảy, 27/05/2023 15:03 (GMT+7)"
Vài triệu đồng một con cua tuyết sống,0,https://vnexpress.net/vai-trieu-dong-mot-con-cua-tuyet-song-4599931.html,"Thứ ba, 2/5/2023, 07:23 (GMT+7)"
Sớm đưa điện năng lượng tái tạo lên hệ thống,0,https://vtv.vn/kinh-te/som-dua-dien-nang-luong-tai-tao-len-he-thong-20230527052930071.htm,"-Thứ bảy, ngày 27/05/2023 06:27 GMT+7"
Vài nghìn đồng một kg mận cơm Sơn La,0,https://vnexpress.net/vai-nghin-dong-mot-kg-man-com-son-la-4600918.html,"Thứ sáu, 5/5/2023, 07:00 (GMT+7)"
Thúc đẩy tiêu thụ trái cây vào mùa thu hoạch,0,https://vtv.vn/kinh-te/thuc-day-tieu-thu-trai-cay-vao-mua-thu-hoach-20230527051148394.htm,"-Thứ bảy, ngày 27/05/2023 06:26 GMT+7"
"52/85 nhà máy điện mặt trời, điện gió chuyển tiếp đã nộp hồ sơ đến EVN",0,https://vtv.vn/kinh-te/52-85-nha-may-dien-mat-troi-dien-gio-chuyen-tiep-da-nop-ho-so-den-evn-20230526204522452.htm,"-Thứ sáu, ngày 26/05/2023 21:21 GMT+7"
"""Làm sạch"" hơn 25 triệu thông tin tín dụng khách hàng vay",0,https://vtv.vn/kinh-te/lam-sach-hon-25-trieu-thong-tin-tin-dung-khach-hang-vay-20230526172607395.htm,"-Thứ sáu, ngày 26/05/2023 18:49 GMT+7"
"Hà Nội, Bắc Giang dẫn đầu cả nước trong hút vốn FDI",0,https://vtv.vn/kinh-te/ha-noi-bac-giang-dan-dau-ca-nuoc-trong-hut-von-fdi-2023052616562866.htm,"-Thứ sáu, ngày 26/05/2023 18:47 GMT+7"
Bộ Công Thương: Nhập khẩu điện không hẳn vì thiếu điện,0,https://vtv.vn/kinh-te/bo-cong-thuong-nhap-khau-dien-khong-han-vi-thieu-dien-20230526183811009.htm,"-Thứ sáu, ngày 26/05/2023 18:45 GMT+7"
Nvidia có thể là công ty bán dẫn nghìn tỷ USD đầu tiên,0,https://vtv.vn/kinh-te/nvidia-co-the-la-cong-ty-ban-dan-nghin-ty-usd-dau-tien-20230526152817565.htm,"-Thứ sáu, ngày 26/05/2023 15:48 GMT+7"
Doanh nghiệp gỗ chật vật tìm đơn hàng,0,https://vnexpress.net/doanh-nghiep-go-chat-vat-tim-don-hang-4608725.html,"Thứ ba, 23/5/2023, 16:08 (GMT+7)"
Phập phồng với lịch cắt điện,0,https://vnexpress.net/phap-phong-voi-lich-cat-dien-4608364.html,"Thứ ba, 23/5/2023, 06:29 (GMT+7)"
Giá xăng vượt 21.000 đồng một lít,0,https://vnexpress.net/gia-xang-moi-nhat-hom-nay-4608183.html,"Thứ hai, 22/5/2023, 14:39 (GMT+7)"
"Ngành nuôi gia cầm lo thua lỗ, phá sản hàng loạt",0,https://vnexpress.net/nganh-nuoi-gia-cam-lo-thua-lo-pha-san-hang-loat-4606963.html,"Thứ năm, 18/5/2023, 19:26 (GMT+7)"
Vài triệu đồng một con cua huỳnh đế 'khủng',0,https://vnexpress.net/vai-trieu-dong-mot-con-cua-huynh-de-khung-4606425.html,"Thứ năm, 18/5/2023, 12:14 (GMT+7)"
Giá tôm nguyên liệu lao dốc,0,https://vnexpress.net/gia-tom-nguyen-lieu-lao-doc-4604453.html,"Chủ nhật, 14/5/2023, 08:38 (GMT+7)"
Gần triệu đồng một kg nấm mối đầu mùa,0,https://vnexpress.net/gan-trieu-dong-mot-kg-nam-moi-dau-mua-4603071.html,"Thứ tư, 10/5/2023, 10:56 (GMT+7)"
Hải quan tìm chủ xe Rolls-Royce bị bỏ gần một năm ở cảng,0,https://vnexpress.net/hai-quan-tim-chu-xe-rolls-royce-bi-bo-gan-mot-nam-o-cang-4602307.html,"Thứ hai, 8/5/2023, 00:00 (GMT+7)"
"Trung Quốc, Lào ồ ạt nhập rau quả Việt Nam",0,https://vnexpress.net/trung-quoc-lao-o-at-nhap-rau-qua-viet-nam-4601952.html,"Chủ nhật, 7/5/2023, 01:06 (GMT+7)"
Vì sao có hiện tượng người chăn nuôi phải tiêu hủy gà con?,0,https://vietstock.vn/2023/05/vi-sao-co-hien-tuong-nguoi-chan-nuoi-phai-tieu-huy-ga-con-118-1074917.htm,29/05/2023 21:15
